row;filename ;     age ;Nlines;include
422;     01a ;22.62831 ;100;yes
425;     01d ;22.62831 ;100;yes
426;     02a ;23.26455 ;100;yes
427;     02b ;23.26455 ;100;yes
428;     02c ;23.26455 ;100;yes
431;     03b ;23.99206 ;100;yes
432;     03c ;23.99206 ;100;yes
434;     04b ;26.06614 ;100;yes
435;     04c ;26.06614 ;100;yes
436;     04d ;26.06614 ;100;yes
439;     05b ;26.85979 ;200;yes
440;     05c ;26.85979 ;100;yes
446;     07c ;28.42989 ;100;yes
447;     07d ;28.42989 ;100;yes
448;     08a ;28.89286 ;100;yes
449;     08b ;28.89286 ;100;yes
451;     08d ;28.89286 ;100;yes
454;     09b ;29.59524 ;200;yes
456;     09d ;29.59524 ;100;yes
459;     10b ;30.49603 ;200;yes
464;     11d ;31.19841 ;200;no
465;     11e ;31.19841 ;100;no
467;     12b ;33.16534 ;200;no
468;     12c ;33.16534 ;200;no
469;     12d ;33.16534 ;100;no
470;     12e ;33.16534 ;100;no