    ;filename ;age ;Nlines;include
261;     01a ;19;100;no
262;     01b ;19;100;no
263;     01c ;19;100;no
264;     01d ;19;100;no
265;     01e ;19;100;no
268;     02a ;19;100;no
270;     02c ;19;100;no
272;     02e ;19;100;yes
273;     02f ;19;100;yes
275;     03a ;21;100;yes
276;     03b ;21;100;yes
277;     03c ;21;100;yes
278;     03d ;21;100;no
279;     04a ;21;100;yes
280;     04b ;21;100;yes
281;     04c ;21;100;yes
282;     04d ;21;100;yes
283;     04e ;21;100;yes
284;     04f ;21;100;yes
286;     05a ;22;100;yes
287;     05b ;22;100;yes
288;     05c ;22;100;yes
289;     05d ;22;100;yes
291;     05f ;22;100;no
292;     05g ;22;100;yes
293;     06a ;23;100;yes
295;     06c ;23;100;yes
296;     06d ;23;100;yes
297;     06e ;23;100;yes
298;     06f ;23;100;yes
300;     07a ;24;100;yes
301;     07b ;24;100;no
303;     07d ;24;100;yes
304;     07e ;24;100;yes
308;     08b ;25;100;yes
309;     08c ;25;100;yes
311;     08e ;25;100;yes
312;     08f ;25;100;yes
313;     08g ;25;100;yes
314;     09a ;26;100;yes
315;     09b ;26;100;yes
316;     09c ;26;100;yes
319;     09f ;26;100;yes
321;     10a ;28;100;no
323;     10c ;28;100;yes
325;     10e ;28;100;yes
326;     10f ;28;100;yes
329;     11b ;29;100;yes
332;     11e ;29;100;yes
333;     11f ;29;100;yes
343;     13b ;32;100;yes
345;     13d ;32;100;yes
346;     13e ;32;100;yes
347;     13f ;32;100;yes
351;     14d ;35;100;no
353;     14f ;35;100;no