    ;filename ;     age ;Nlines;Include
134;11021;22.69444 ;400;yes
135;11026;22.85979 ;500;no
136;11029;22.95899 ;700;yes
137;11103;23.09921 ;500;no
138;11107;23.23148 ;600;no
139;11111;23.36376 ;400;no
140;11115;23.49603 ;600;no
141;11120;23.66138 ;400;no
142;11125;23.82672 ;400;no
143;11128;23.82672 ;400;no
144;20002;24.06614 ;100;yes
145;20003;24.09921 ;100;yes
146;20004;24.13228 ;100;yes
147;20006;24.19841 ;300;no
148;20009;24.29762 ;100;no
149;20012;24.39683 ;100;no
150;20014;24.46296 ;300;no
151;20019;24.62831 ;200;no
152;20025;24.82672 ;400;no
153;20100;25.00000 ;500;no
154;20104;25.13228 ;500;no
155;20112;25.39683 ;600;no
156;20118;25.59524 ;600;no
157;20121;25.69444 ;500;no
158;20124;25.79365 ;300;no
159;20126;25.85979 ;100;yes
160;20129;25.95899 ;200;no
161;20201;26.03307 ;500;no
162;20204;26.13228 ;200;no
163;20207;26.23148 ;400;no
164;20211;26.36376 ;200;no
165;20214;26.46296 ;500;no
166;20216;26.52910 ;500;no
167;20222;26.72751 ;500;no
168;20224;26.79365 ;400;no
169;20230;26.99206 ;400;no
170;20303;27.09921 ;300;no
171;20304;27.13228 ;100;yes
172;20310;27.33069 ;300;no
173;20312;27.39683 ;500;no
175;20317;27.56217 ;600;no
176;20320;27.66138 ;200;no
177;20322;27.72751 ;100;yes
178;20326;27.85979 ;600;no
179;20328;27.92593 ;200;no
180;20402;28.06614 ;400;no
181;20404;28.13228 ;200;no
182;20410;28.33069 ;800;no
183;20412;28.39683 ;200;no
184;20417;28.56217 ;500;no
185;20418;28.59524 ;400;no
186;20424;28.79365 ;400;no
187;20425;28.82672 ;600;no
188;20429;28.82672 ;700;no
189;20500;29.00000 ;1000;no
190;20505;29.16534 ;1000;no
191;20507;29.23148 ;300;no
192;20514;29.46296 ;500;no
193;20517;29.56217 ;300;no
194;20518;29.59524 ;400;no
195;20521;29.69444 ;1100;no
196;20524;29.95899 ;300;no
198;20529;29.95899 ;300;yes